ID	ABCG2	Type	CancerType
TCGA-XF-AAN3-01A	0.325389	Tumor	BLCA
TCGA-FD-A3SR-01A	0.467226036	Tumor	BLCA
TCGA-4Z-AA89-01A	0.454198396	Tumor	BLCA
TCGA-G2-A2EO-01A	0.150072069	Tumor	BLCA
TCGA-ZF-AA5H-01A	1.64966	Tumor	BLCA
TCGA-BT-A20V-01A	0.061356956	Tumor	BLCA
TCGA-GC-A3WC-01A	3.495878068	Tumor	BLCA
TCGA-GV-A3JV-01A	0.5843279	Tumor	BLCA
TCGA-YF-AA3M-01A	0.774869475	Tumor	BLCA
TCGA-FD-A3B5-01A	0.2352772	Tumor	BLCA
TCGA-BT-A20Q-11A	0.256558529	Normal	BLCA
TCGA-CF-A47V-01A	1.712172	Tumor	BLCA
TCGA-GU-A42P-01A	2.352248	Tumor	BLCA
TCGA-BT-A20T-01A	0.882926834	Tumor	BLCA
TCGA-GC-A3BM-11A	2.632048952	Normal	BLCA
TCGA-XF-AAN0-01A	0.7559145	Tumor	BLCA
TCGA-E7-A7DV-01A	1.524209	Tumor	BLCA
TCGA-GV-A40E-01A	0.8580412	Tumor	BLCA
TCGA-FJ-A3Z9-01A	0.604730242	Tumor	BLCA
TCGA-XF-A9ST-01A	4.556648836	Tumor	BLCA
TCGA-FJ-A3ZF-01A	0.653207817	Tumor	BLCA
TCGA-K4-A3WV-11A	1.833204866	Normal	BLCA
TCGA-YC-A89H-01A	0.135262536	Tumor	BLCA
TCGA-CF-A9FM-01A	1.226536267	Tumor	BLCA
TCGA-DK-A1AD-01A	0.598439395	Tumor	BLCA
TCGA-G2-A2EK-01A	0.446558986	Tumor	BLCA
TCGA-E5-A2PC-01A	0.551968332	Tumor	BLCA
TCGA-C4-A0F1-01A	0.185735407	Tumor	BLCA
TCGA-FD-A43N-01A	0.5320837	Tumor	BLCA
TCGA-BL-A13J-01A	0.3965829	Tumor	BLCA
TCGA-FD-A3SO-01A	0.088991238	Tumor	BLCA
