CancerType	BTLA	CD200	TNFRSF14	NRP1	LAIR1	TNFSF4	CD244	LAG3	ICOS	CD40LG	CTLA4	CD48	CD28	CD200R1	HAVCR2	ADORA2A	CD276	KIR3DL1	CD80	PDCD1	LGALS9	CD160	TNFSF14	IDO2	ICOSLG	TMIGD2	VTCN1	IDO1	PDCD1LG2	HHLA2	TNFSF18	BTNL2	CD70	TNFSF9	TNFRSF8	CD27	TNFRSF25	VSIR	TNFRSF4	CD40	TNFRSF18	TNFSF15	TIGIT	CD274	CD86	CD44	TNFRSF9
KICH	0.104555603859107	0.395940344127703	0.137334197115152	0.306301811935102	0.172303935367199	0.176135226564544	0.453636429947924	-0.0263789680409237	0.18693190609232	0.219836834723184	0.0834755225327533	0.359540140037143	0.0518357770457853	0.0890501907237071	0.252215494927308	0.213474415155033	-0.113953688002194	0.209925680778538	0.15367345039751	0.131475125695557	0.257327698378848	0.232480086019421	0.232651432679002	-0.120558465915519	0.0714452106333024	0.0254196563810172	0.116529539102627	-0.0244417550734719	0.056632093881655	0.141753524396794	0.240437227133277	-0.0799698319689506	-0.270542684135006	-0.232475112599356	0.281147611403484	0.0886190362857986	0.0785160719378522	0.352092068937756	0.132366315367086	-0.0360272752296302	-0.0388318692813322	0.0975956497025162	0.26740628385812	0.0867235690614589	0.242943800111381	-0.0745328255717406	-0.0287923020736188
KIRC	-0.153608153590347	0.365453918388527	0.0577711112656221	0.526817083458904	-0.192725467946746	-0.108554302270404	-0.0712385558463064	-0.249420437681871	-0.121868981486598	-0.0529462045368729	-0.213877817459354	0.00261925120161885	-0.121944426917432	-0.0270569225329308	0.0528497182907522	0.202471925089638	-0.14362378424093	0.262865565727274	-0.192779160949102	-0.237917408271619	-0.168964008489763	0.0658707685849829	-0.370871543922341	-0.0689184505410835	-0.0343596124445372	-0.216928965328807	-0.080385921991836	0.280354479872864	0.0829937409480636	0.32337474245028	0.18181465239984	-0.0241839139844479	-0.143017408029519	-0.193533610603841	-0.125943964529719	-0.201547803774506	-0.0875255419587381	0.290909794393394	0.291512595933893	0.119865785461094	-0.359176038019252	0.0795600492238999	-0.18393794978734	-0.0194592026532416	-0.100651852084674	-0.305103053076179	-0.178573890670034
KIRP	0.0658867162229809	-0.28527624001121	-0.0930032783830305	0.0114893012016822	0.146101173930618	0.0792563787252948	0.0934433838408827	0.118171619272406	0.180455291389978	0.033612110290735	0.109272604346169	0.126110541261004	0.204211069049917	0.232639484773708	0.0353920694939758	0.265513623167889	-0.158731608855898	0.0353926589616224	0.274490583458871	0.129143019443359	0.084551322862062	-0.0378360135023064	-0.00720365228535799	0.0894517326687037	0.234480822243912	-0.0295958603106609	-0.101090125929244	0.380115706471344	0.308968036720143	0.0969219587672783	0.159710758963597	-0.0809899021853713	0.0232986051454451	-0.0532210794393276	0.103608245991497	0.107171214737427	-0.147717235276398	0.0591821787978754	0.114652107372826	-0.173400748074192	-0.120426181890553	0.153085626808075	0.169458163779607	0.267872124519696	0.145794484090282	0.132116959240874	0.171174976952852
LAML	0.280741376558869	0.314715466878455	0.193467118713219	0.166455077651599	-0.309110265124352	0.212569431958568	0.108563142749798	0.386124737409807	0.485907791986598	0.558860239424465	0.441903549492272	0.266311686206599	0.480584707641061	0.143130670983762	-0.21666131119583	0.251687679966467	-0.0549828216067552	0.435820157603727	0.102859966809558	-0.0188565270376074	-0.141360780769067	0.415670572028837	0.0671274048300009	0.0754412374376588	0.261105961209246	0.290161721400738	0.223579382001332	0.087643341693598	0.240709869596658	0.0889174561037726	0.294173383164621	0.421805463798108	0.022510338798786	-0.114386629198985	-0.0557128241658739	0.488141826425771	0.267191878216227	-0.199473667124634	-0.00876237546937881	0.272243689356389	0.091404121640502	-0.0826350236536915	0.590661248278867	0.42407229210148	-0.155441533643734	-0.144012905417376	0.401321641207184
LGG	-0.0170205217741521	0.00078442962310581	-0.0211484940972277	0.27550619901146	-0.0808582925851331	0.000883395136649783	-0.0651368675380647	-0.115013031166233	0.0205511652849606	0.0725884517675943	0.0358856082937585	0.0674367483136508	0.0756030011626164	-0.0142098453452315	-0.0879478697470387	0.0681580763860736	-0.150472355293229	0.182954966114498	-0.0360365861121771	-0.0933503738892374	-0.0875994244996921	0.0437766018344903	-0.0659802150607521	-0.0181752028880827	-0.0307770594242867	-0.122790729262155	0.0114456830580167	-0.039926926322237	-0.00505611327178951	0.0170916765639119	0.0203043947547121	-0.0872885528962963	-0.0407632486941881	-0.134300256080965	-0.126284664460412	0.0380031892460637	-0.229273672656246	0.0103484705674059	0.101542823373242	0.0410326400956481	-0.180174017530934	0.0403724877495167	0.0912054179589078	0.00799576230058703	-0.0654184220538196	-0.0226531421736366	0.23023577586563
LIHC	-0.0952530486874265	-0.0770125034109396	-0.253544795934075	0.149694566868175	-0.189023699248149	-0.304155334336756	-0.0350879758923251	-0.165209077983649	-0.156788241960378	-0.160729107287107	-0.199656361688918	-0.193018112611083	-0.0326372311533309	-0.100272690936974	-0.240227613985194	0.0527237408538003	-0.355562110015545	-0.017177240853289	-0.114929900043849	-0.216451470770733	-0.31723106889819	-0.0619512598943643	-0.18764096333556	0.15077357502166	0.0579969053409	-0.205921813500388	-0.138657440550138	-0.0027203535529849	-0.0424740106544103	-0.0712880903049023	-0.0571751163452023	-0.0510606700676269	-0.195903278277628	-0.192298133202609	-0.211478279411247	-0.187826982509085	-0.287368633554678	-0.0291835114971417	-0.233557767149838	0.0660901433867533	-0.332032007281139	-0.353175802016845	-0.143668054094532	-0.0633426938622906	-0.180749109505131	0.00114475492603222	0.146681231132524
LUAD	0.217727249386974	0.26880502100662	-0.0925035949147843	0.129411498255509	0.279612649210429	0.124264738783907	0.212857634797962	-0.041483573230085	0.193679814673246	0.196921153066092	0.097735781419813	0.198284371899702	0.25370380303543	0.255966247470411	0.241020003538556	0.055626228948587	-0.0587066051933031	-0.0240012393493268	0.238935851092375	0.0303443960098755	-0.0218704004951566	0.192567452636057	-0.0134451530057605	0.0161252248466134	0.016083873127603	-0.00712922484701754	0.11467839018784	0.0324449828140328	0.264058422577313	0.0351815198809528	0.203671699837321	0.135406117631673	0.038164122432687	0.0812475923228546	0.0606973201481464	0.0365408504757265	-0.170035583375662	0.264696886312457	-0.0253040677447886	0.0242708385302845	-0.182203136482218	0.0679192344658785	0.120885203464623	0.138537012589783	0.241766475749326	0.161528527366335	0.0190957946167771
LUSC	0.145253452371254	0.0924487938518528	-0.141151046823389	0.0653174668089859	0.166344889795748	0.0391807488699703	0.170108731832376	0.0560775393775571	0.118693788488391	0.107384149152897	0.0834665124495452	0.162453238400628	0.14551960031552	0.104324430060993	0.17765067111344	-0.0370568674693071	-0.0905585289183658	0.121013421244623	0.116322076887706	0.0736924744848148	0.0977799399321247	0.116361546082973	0.0478128072861708	-0.0824488108315822	-0.0371253473977032	0.0848854167198577	-0.00525545897927583	-0.0122815332662009	0.185580545072825	0.0852155510512752	0.0913698841731058	-0.0821560130217357	-0.140819236937192	0.10979262122695	-0.0433831567192238	0.0752890368429425	-0.210569947372811	0.0504786738761898	-0.0727403041197229	-0.166372558052513	-0.12743383777633	0.0229813480097584	0.0861760697990869	0.231313403666787	0.135160400549239	0.049713638568401	-0.000185800043439381
MESO	0.135182019889824	-0.135107496754405	-0.00682295529220162	0.514507765140089	0.0279065683540287	0.0945069037101136	-0.0503525790725421	-0.0383529460372593	0.101095017418715	0.194514792150056	0.0279779438051293	0.0633276904708398	0.167233686003795	0.0753215314819316	-0.0165513833407329	0.204133515440722	0.113283730979238	0.0746947322279743	0.0725308380357139	-0.00206199715692928	0.0192990579189626	-0.0454962399208936	-0.204571229522842	0.138753557554942	-0.0520343465528352	0.0333980622738609	-0.173150645967233	-0.0153829993830161	0.23518990067658	0.249206012253579	0.0686471274843576	-0.0395818299422511	-0.0391536201440483	-0.111972029414565	-0.228460942676476	0.0594618876656834	0.115413148906573	-0.185818478473707	0.0879262547635532	-0.0131629272103701	-0.12395744056508	0.183830895286981	0.0684457342945641	0.368433113670675	0.0058965499822159	0.16553916232514	-0.122091547542496
OV	0.030114943238663	0.141347457953866	-0.0125748646010504	0.122420892055258	-0.0472232552206016	-0.0999675340939716	0.0565651627785004	-0.0015418770434507	-0.0846177238292311	0.0183248616513173	-0.139169839088191	-0.0629538254177947	0.164663763700083	0.171633234401211	-0.0578936393290142	0.0668411819931267	0.0464068307793908	-0.0554276375752469	-0.0310418571237361	-0.0504310288839566	-0.0260453679520021	0.00224867698217961	-0.102293842454564	-0.0468488986565474	-0.0164808176991759	-0.0889459004100759	-0.0864502997482742	-0.105123576108516	-0.0813744410184877	0.049449329139298	-0.0358662087381132	0.130675734762331	-0.107839482211961	-0.172541794178533	-0.0655511917735747	-0.110530953071601	0.0325410769421121	-0.0282405812289768	-0.0265588618032794	-0.0350006542253292	-0.0614075922900139	0.0980584904981159	-0.120686835627873	-0.0324043779926693	-0.014859004105165	-0.0926599605771732	-0.161973628490157
