ID	ABCG1	ABCG2	ABCG4	ABCG5	ABCG8	Type	CancerType
TCGA-OU-A5PI-01A	3.595899077	3.744429126	0.060100473	0.030707208	0	Tumor	ACC
TCGA-OR-A5K8-01A	2.493884374	0.670704377	0.010959987	0.072340379	0	Tumor	ACC
TCGA-OR-A5K0-01A	0.3390095	0.3259957	0.04151123	0.03010966	0.01408796	Tumor	ACC
TCGA-OR-A5KY-01A	3.271919567	1.231350101	0.035448816	0.116189395	0.027878137	Tumor	ACC
TCGA-OR-A5J9-01A	3.16502	3.526001	0.02865607	0.05387034	0	Tumor	ACC
TCGA-OR-A5J1-01A	1.864518	0.768439	0.03645533	0.1265398	0	Tumor	ACC
TCGA-OR-A5J5-01A	0.4818723	0.2978193	0.06629883	0.3567247	0.1291311	Tumor	ACC
TCGA-OR-A5L6-01A	2.577036843	1.71941125	0.037860677	0.103944823	0	Tumor	ACC
TCGA-OR-A5LP-01A	2.04785	1.757471	0.06030197	0.01291807	0.009028165	Tumor	ACC
TCGA-OR-A5K9-01A	2.446340001	0.230447517	0.057249895	0.243331851	0.051909848	Tumor	ACC
TCGA-OR-A5J7-01A	0.970268039	1.318931365	0.441965835	0.255689167	0.02698954	Tumor	ACC
TCGA-PK-A5H9-01A	2.991882	2.403074	0.08985478	0.1483896	0.06817478	Tumor	ACC
TCGA-OR-A5LR-01A	3.75880415	1.238030198	0.03547166	0.234180266	0	Tumor	ACC
TCGA-OR-A5JK-01A	2.163169664	0.845075879	0.005575358	0.037184103	0	Tumor	ACC
TCGA-OR-A5J6-01A	1.058737168	1.077064164	0.42708991	0.095352345	0.078111487	Tumor	ACC
TCGA-OR-A5LL-01A	4.555281	1.7079	0.03297472	0.04429488	0	Tumor	ACC
TCGA-OR-A5K3-01A	2.083656297	0.837948453	0.016026677	0.013520266	0.018837754	Tumor	ACC
TCGA-OR-A5J3-01A	0.776845795	2.650795831	0.055305363	0.067516119	0.01201036	Tumor	ACC
TCGA-OR-A5L5-01A	3.70885	1.565232	0.02895486	0.1598498	0.02919764	Tumor	ACC
TCGA-FD-A3SS-01A	1.940715	2.270423	0.07219605	0.0177195	0	Tumor	BLCA
TCGA-FD-A43S-01A	2.500313562	0.51911832	0.079862092	0.024223211	0	Tumor	BLCA
TCGA-UY-A78K-01A	1.646938817	1.577838204	0.306356174	0.029208484	0.030564076	Tumor	BLCA
TCGA-DK-A2HX-01A	3.022153267	0.931681168	0.05551853	0.03328873	0	Tumor	BLCA
TCGA-DK-A1A3-01A	1.485237685	1.310085513	0.031793618	0.026844251	0	Tumor	BLCA
TCGA-GC-A6I3-01A	1.9068347	0.115823701	0.012377913	0.139703282	0.028959118	Tumor	BLCA
TCGA-XF-AAMJ-01A	4.217928743	0.439172831	0.135198715	0	0	Tumor	BLCA
TCGA-GC-A6I1-01A	2.161262	0.2069814	0.02070661	0.02613037	0.02433165	Tumor	BLCA
TCGA-ZF-A9RL-01A	4.231365	0.5537276	0.03475745	0.0581175	0.01373124	Tumor	BLCA
TCGA-DK-A3IL-01A	2.923969157	0.196742755	0.014307404	0.024037371	0.022381609	Tumor	BLCA
TCGA-E7-A6MF-01A	3.715384	2.186725	0.01491288	0	0	Tumor	BLCA
TCGA-BT-A20R-01A	1.956626229	0.692415417	0.067116689	0.014404749	0	Tumor	BLCA
TCGA-H4-A2HQ-01A	2.858434708	0.540581546	0.034716125	0.041700492	0.035006617	Tumor	BLCA
TCGA-GV-A3QH-01A	1.681832	0.3719964	0.2095594	0.04536538	0.04745858	Tumor	BLCA
TCGA-4Z-AA82-01A	1.676205391	0.296236498	0.005178921	0.059959076	0.036168014	Tumor	BLCA
TCGA-E7-A4XJ-01A	3.549479272	0.699966971	0.23587538	0.011034087	0.060556045	Tumor	BLCA
TCGA-XF-A8HE-01A	1.292879892	0.302392375	0.019137645	0.016147427	0.011288897	Tumor	BLCA
TCGA-XF-A9T0-01A	3.648154	0.1901956	0.02309845	0.04824871	0	Tumor	BLCA
TCGA-FD-A5BT-01A	1.842341217	0.536386457	0.077771997	0.028579852	0.013368403	Tumor	BLCA
TCGA-FD-A3SN-01A	4.902502666	0.238394077	0.103395356	0.007835067	0.010925035	Tumor	BLCA
TCGA-G2-AA3C-01A	1.534602458	0.494745901	0.041422426	0.010084681	0.014057533	Tumor	BLCA
TCGA-HQ-A2OE-01A	2.526912	0.807133	0.01035026	0.1376797	0.1396717	Tumor	BLCA
TCGA-BL-A3JM-01A	2.186514261	0.437616358	0.044656055	0.095096675	0.06702636	Tumor	BLCA
TCGA-XF-AAN3-01A	3.570293	0.325389	0.009438153	0.01587489	0	Tumor	BLCA
TCGA-FD-A3SR-01A	1.882321975	0.467226036	0.022997979	0.053699478	0	Tumor	BLCA
TCGA-4Z-AA89-01A	3.087304885	0.454198396	0.018093116	0	0	Tumor	BLCA
TCGA-G2-A2EO-01A	2.642536669	0.150072069	0.024248489	0.032606664	0	Tumor	BLCA
TCGA-ZF-AA5H-01A	1.31047	1.64966	0.003325924	0	0.007814045	Tumor	BLCA
TCGA-BT-A20V-01A	3.6144134	0.061356956	0.02061928	0.045938886	0	Tumor	BLCA
TCGA-GC-A3WC-01A	1.339699885	3.495878068	0.024348212	0.048836081	0.011509939	Tumor	BLCA
TCGA-GV-A3JV-01A	2.925213	0.5843279	0.16595	0.1242046	0.2379103	Tumor	BLCA
TCGA-YF-AA3M-01A	2.633421525	0.774869475	0.023833363	0	0	Tumor	BLCA
TCGA-FD-A3B5-01A	1.832774	0.2352772	0.247793	0.005830967	0.03225965	Tumor	BLCA
TCGA-BT-A20Q-11A	1.419941557	0.256558529	0.013936996	0.034984636	0	Normal	BLCA
TCGA-CF-A47V-01A	3.157152	1.712172	0.1081175	0.04302792	0.03016548	Tumor	BLCA
TCGA-GU-A42P-01A	0.878959	2.352248	0.1760792	0.04520428	0.03169838	Tumor	BLCA
TCGA-BT-A20T-01A	3.322290461	0.882926834	0.024144867	0.053713916	0.018972459	Tumor	BLCA
TCGA-GC-A3BM-11A	3.22120915	2.632048952	0.062075862	0.078046706	0	Normal	BLCA
TCGA-XF-AAN0-01A	2.706216	0.7559145	0.01783612	0.01205109	0	Tumor	BLCA
TCGA-E7-A7DV-01A	2.811209	1.524209	0.03695844	0.006297004	0.00878224	Tumor	BLCA
